alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1745463090.4674,transparent,4907.0235295484,1745232789.1541,"AS58821 PT Lintas Jaringan Nusantara",IDNIC-LJN-AS-ID,Batam,Asia,AS,Indonesia,ID,,false,"Trans Media Telekomunikasi",1.1494,104.0249,false,,false,Riau,success,Asia/Jakarta,29444,1745233172,1745463090.4674,8085,http,103.156.248.240:8085,false,456.30121231079,354,3144,10.120068610635,103.156.248.240
true,1745456307.3484,elite,767.78864860535,1745436093.8171,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Shanghai,Asia,AS,China,CN,,false,Chinanet,31.2222,121.4581,false,"Chinanet JS",false,Shanghai,success,Asia/Shanghai,,1745456309,1745456307.3484,1080,http,49.67.131.211:1080,false,767.78864860535,1,61,1.6129032258065,49.67.131.211
true,1745447992.7446,transparent,6041.0518927156,1745264707.6737,"AS265561 LANTOINTERNET SA DE CV","LANTOINTERNET SA DE CV","La Cañada","North America",NA,Mexico,MX,,false,"Lantointernet SA De CV",20.6619,-100.3441,true,"Lantointernet SA De CV",false,Querétaro,success,America/Mexico_City,76269,1745264712,1745447992.7446,999,http,45.167.95.182:999,false,596.15468978882,331,2465,11.838340486409,45.167.95.182
true,1745427226.1783,elite,9329.5242390182,1723116665.6112,"AS17816 China Unicom IP network China169 Guangdong province",CHINA169-GZ,Guangzhou,Asia,AS,China,CN,,false,"China Unicom Guangdong Province Network",23.1291,113.264,false,,false,Guangdong,success,Asia/Shanghai,510000,1744958860,1745427226.1783,9999,socks4,163.204.245.176:9999,true,18095.879077911,349,71233,0.48755273672152,163.204.245.176
true,1745417253.1697,elite,2014.3310821514,1710540143.7105,"AS34984 Superonline Iletisim Hizmetleri A.S.",TELLCOM-AS,Istanbul,Asia,AS,Türkiye,TR,,false,"Superonline Iletisim Hizmetleri A.S.",41.0207,28.9285,false,"Hipernet Bilisim VE Telekomunikasyon Hizmetleri Sanayi VE Ticaret Limited",true,Istanbul,success,Europe/Istanbul,34010,1745197835,1745417253.1697,4153,socks4,213.74.223.77:4153,true,11428.217887878,2995,216465,1.3647133874054,213.74.223.77
true,1745396651.6308,elite,1444.3392753601,1745386179.941,"AS4134 CHINANET-BACKBONE",CHINANET-BACKBONE,Shanghai,Asia,AS,China,CN,,false,Chinanet,31.2222,121.4581,false,"Chinanet JS",false,Shanghai,success,Asia/Shanghai,,1745396654,1745396651.6308,8089,http,49.67.128.134:8089,false,1444.3392753601,1,20,4.7619047619048,49.67.128.134
true,1745386107.4365,transparent,5974.4393440985,1745343018.7712,"AS7713 PT Telekomunikasi Indonesia",telkomnet-as-ap,"Jakarta Pusat",Asia,AS,Indonesia,ID,,false,"PT. Telekomunikasi Indonesia",-6.18104,106.826,false,"Telekomunikasi Indonesia",false,Jakarta,success,Asia/Jakarta,,1745343030,1745386107.4365,8080,http,36.90.25.188:8080,false,11137.084722519,62,590,9.5092024539877,36.90.25.188
true,1745379877.9642,elite,5961.5173455888,1744004170.2247,"AS149089 CLOUDFLY CORPORATION",CLOUDFLY-VN,"Thanh Khê",Asia,AS,Vietnam,VN,,false,"Cloudfly Corporation",16.0632,108.203,false,"Cloudfly Corporation",true,"Da Nang",success,Asia/Ho_Chi_Minh,,1745216677,1745379877.9642,8888,http,103.82.37.125:8888,false,2381.2854290009,1130,15229,6.9075126841494,103.82.37.125
true,1745379743.2163,elite,4594.0417600089,1743038342.8001,"AS140810 Megacore Technology Company Limited",MEGACORE-AS-VN,Haiphong,Asia,AS,Vietnam,VN,,false,V9ERP,20.8358,106.684,false,"V9 Enterprise Solution Joint Stock Company",false,Haiphong,success,Asia/Bangkok,,1744852936,1745379743.2163,36694,http,103.213.218.6:36694,false,11404.028654099,2320,26223,8.1280874470098,103.213.218.6
true,1745355721.6553,transparent,6041.3975374504,1744806927.4323,"AS138064 PT. Jinom Network Indonesia",JINOM-AS-ID,"Banjar Jabejero",Asia,AS,Indonesia,ID,,false,"PT. Jinom Network Indonesia",-8.59554,115.272,false,,false,Bali,success,Asia/Makassar,,1744806937,1745355707.2213,8080,http,103.122.64.150:8080,false,9395.5340385437,636,6599,8.790601243953,103.122.64.150
